server,pool
0,0
0,4
0,8
0,12
0,16
0,80
0,96
0,112
1,0
1,5
1,10
1,15
1,17
1,81
1,97
1,113
2,0
2,6
2,11
2,13
2,18
2,82
2,98
2,114
3,0
3,7
3,9
3,14
3,19
3,83
3,99
3,115
4,1
4,5
4,9
4,13
4,16
4,84
4,100
4,116
5,1
5,4
5,11
5,14
5,17
5,85
5,101
5,117
6,1
6,7
6,10
6,12
6,18
6,86
6,102
6,118
7,1
7,6
7,8
7,15
7,19
7,87
7,103
7,119
8,2
8,6
8,10
8,14
8,16
8,88
8,104
8,120
9,2
9,7
9,8
9,13
9,17
9,89
9,105
9,121
10,2
10,4
10,9
10,15
10,18
10,90
10,106
10,122
11,2
11,5
11,11
11,12
11,19
11,91
11,107
11,123
12,3
12,7
12,11
12,15
12,16
12,92
12,108
12,124
13,3
13,6
13,9
13,12
13,17
13,93
13,109
13,125
14,3
14,5
14,8
14,14
14,18
14,94
14,110
14,126
15,3
15,4
15,10
15,13
15,19
15,95
15,111
15,127
16,20
16,24
16,28
16,32
16,36
16,95
16,107
16,119
17,20
17,25
17,30
17,35
17,37
17,80
17,108
17,120
18,20
18,26
18,31
18,33
18,38
18,81
18,109
18,121
19,20
19,27
19,29
19,34
19,39
19,82
19,110
19,122
20,21
20,25
20,29
20,33
20,36
20,83
20,111
20,123
21,21
21,24
21,31
21,34
21,37
21,84
21,96
21,124
22,21
22,27
22,30
22,32
22,38
22,85
22,97
22,125
23,21
23,26
23,28
23,35
23,39
23,86
23,98
23,126
24,22
24,26
24,30
24,34
24,36
24,87
24,99
24,127
25,22
25,27
25,28
25,33
25,37
25,88
25,100
25,112
26,22
26,24
26,29
26,35
26,38
26,89
26,101
26,113
27,22
27,25
27,31
27,32
27,39
27,90
27,102
27,114
28,23
28,27
28,31
28,35
28,36
28,91
28,103
28,115
29,23
29,26
29,29
29,32
29,37
29,92
29,104
29,116
30,23
30,25
30,28
30,34
30,38
30,93
30,105
30,117
31,23
31,24
31,30
31,33
31,39
31,94
31,106
31,118
32,40
32,44
32,48
32,52
32,56
32,94
32,102
32,126
33,40
33,45
33,50
33,55
33,57
33,95
33,103
33,127
34,40
34,46
34,51
34,53
34,58
34,80
34,104
34,112
35,40
35,47
35,49
35,54
35,59
35,81
35,105
35,113
36,41
36,45
36,49
36,53
36,56
36,82
36,106
36,114
37,41
37,44
37,51
37,54
37,57
37,83
37,107
37,115
38,41
38,47
38,50
38,52
38,58
38,84
38,108
38,116
39,41
39,46
39,48
39,55
39,59
39,85
39,109
39,117
40,42
40,46
40,50
40,54
40,56
40,86
40,110
40,118
41,42
41,47
41,48
41,53
41,57
41,87
41,111
41,119
42,42
42,44
42,49
42,55
42,58
42,88
42,96
42,120
43,42
43,45
43,51
43,52
43,59
43,89
43,97
43,121
44,43
44,47
44,51
44,55
44,56
44,90
44,98
44,122
45,43
45,46
45,49
45,52
45,57
45,91
45,99
45,123
46,43
46,45
46,48
46,54
46,58
46,92
46,100
46,124
47,43
47,44
47,50
47,53
47,59
47,93
47,101
47,125
48,60
48,64
48,68
48,72
48,76
48,93
48,97
48,117
49,60
49,65
49,70
49,75
49,77
49,94
49,98
49,118
50,60
50,66
50,71
50,73
50,78
50,95
50,99
50,119
51,60
51,67
51,69
51,74
51,79
51,80
51,100
51,120
52,61
52,65
52,69
52,73
52,76
52,81
52,101
52,121
53,61
53,64
53,71
53,74
53,77
53,82
53,102
53,122
54,61
54,67
54,70
54,72
54,78
54,83
54,103
54,123
55,61
55,66
55,68
55,75
55,79
55,84
55,104
55,124
56,62
56,66
56,70
56,74
56,76
56,85
56,105
56,125
57,62
57,67
57,68
57,73
57,77
57,86
57,106
57,126
58,62
58,64
58,69
58,75
58,78
58,87
58,107
58,127
59,62
59,65
59,71
59,72
59,79
59,88
59,108
59,112
60,63
60,67
60,71
60,75
60,76
60,89
60,109
60,113
61,63
61,66
61,69
61,72
61,77
61,90
61,110
61,114
62,63
62,65
62,68
62,74
62,78
62,91
62,111
62,115
63,63
63,64
63,70
63,73
63,79
63,92
63,96
63,116
