server,pool
0,0
0,4
0,8
0,12
0,16
0,157
0,166
0,171
1,0
1,5
1,10
1,15
1,17
1,170
1,173
1,183
2,0
2,6
2,11
2,13
2,18
2,120
2,144
2,154
3,0
3,7
3,9
3,14
3,19
3,121
3,122
3,165
4,1
4,5
4,9
4,13
4,16
4,155
4,185
4,186
5,1
5,4
5,11
5,14
5,17
5,136
5,137
5,138
6,1
6,7
6,10
6,12
6,18
6,123
6,126
6,174
7,1
7,6
7,8
7,15
7,19
7,128
7,142
7,158
8,2
8,6
8,10
8,14
8,16
8,150
8,151
8,182
9,2
9,7
9,8
9,13
9,17
9,135
9,167
9,184
10,2
10,4
10,9
10,15
10,18
10,129
10,168
10,169
11,2
11,5
11,11
11,12
11,19
11,141
11,172
11,187
12,3
12,7
12,11
12,15
12,16
12,124
12,125
12,156
13,3
13,6
13,9
13,12
13,17
13,140
13,152
13,181
14,3
14,5
14,8
14,14
14,18
14,153
14,159
14,180
15,3
15,4
15,10
15,13
15,19
15,127
15,139
15,143
16,20
16,24
16,28
16,32
16,36
16,121
16,177
16,183
17,20
17,25
17,30
17,35
17,37
17,161
17,168
17,188
18,20
18,26
18,31
18,33
18,38
18,140
18,145
18,165
19,20
19,27
19,29
19,34
19,39
19,139
19,170
19,176
20,21
20,25
20,29
20,33
20,36
20,123
20,175
20,181
21,21
21,24
21,31
21,34
21,37
21,135
21,147
21,148
22,21
22,27
22,30
22,32
22,38
22,136
22,146
22,182
23,21
23,26
23,28
23,35
23,39
23,160
23,185
23,189
24,22
24,26
24,30
24,34
24,36
24,131
24,133
24,138
25,22
25,27
25,28
25,33
25,37
25,122
25,166
25,178
26,22
26,24
26,29
26,35
26,38
26,125
26,152
26,153
27,22
27,25
27,31
27,32
27,39
27,132
27,150
27,155
28,23
28,27
28,31
28,35
28,36
28,120
28,154
28,162
29,23
29,26
29,29
29,32
29,37
29,167
29,169
29,184
30,23
30,25
30,28
30,34
30,38
30,130
30,151
30,163
31,23
31,24
31,30
31,33
31,39
31,124
31,137
31,180
32,40
32,44
32,48
32,52
32,56
32,121
32,145
32,151
33,40
33,45
33,50
33,55
33,57
33,135
33,146
33,167
34,40
34,46
34,51
34,53
34,58
34,126
34,142
34,156
35,40
35,47
35,49
35,54
35,59
35,128
35,141
35,187
36,41
36,45
36,49
36,53
