trace,vm_count,vm_type_count,rss1_mean,rss1_std,lifetime_mean,lifetime_std,arrival_rate,peak_demand_gb,events_hotfix_mean,events_no_hotfix_mean,hotfix_survival_pct
AMS20PrdApp19-tround,34029,87,32793.25410679127,67705.95355643512,1192.1396590448837,1109.2128439025075,14.77594442032132,0.0,2880.4,3759.4,76.61860935255626
BLAPrdApp19-troundgrt5m,129698,95,15851.414917731961,34438.73267955841,803.8872256085415,1035.8219207722361,56.316977854971775,86502164.0,6762.2,8501.4,79.54219305055638
BN9PrdApp18-troundgrt5m,178224,83,21700.00466828261,25066.450478339862,553.464105251744,929.3850631745515,77.38775510204081,0.0,9023.8,16621.6,54.289599075901236
DSM08PrdApp05-troundgrt5m,103847,74,16186.78679210762,24905.118679626004,738.2778912218325,997.5414788457712,45.09205384281372,0.0,8802.4,11541.2,76.26936540394412
DUB24PrdApp09-troundgrt5m,79151,75,12134.98411896249,15649.327999881047,987.0382987300948,1052.759395583536,34.36864958749457,244513792.0,6494.6,8604.4,75.47998698340385
LON23PrdApp01-troundgrt5m,23450,90,22782.503539445628,40375.81083171232,710.3829286074814,1015.8186132723584,10.182370820668693,36692756.0,7174.0,8929.6,80.33954488442932
LVL01PrdApp05-troundgrt5m,271080,140,28966.330116570753,36872.359365290016,283.4205543132222,709.2413914418872,117.70733825445072,0.0,11159.8,25999.0,42.92395861379284
SG2PrdApp35-troundgrt5m,141018,100,21489.947070586735,32920.93074844341,725.9894595507978,1026.7464744465133,61.23230568823274,140139284.0,7840.4,10082.0,77.76631620710177
SYD21PrdApp07-troundgrt5m,57501,93,25316.717204918175,45297.04992829412,900.907002752925,1079.4900431330996,24.967867998263134,185262356.0,4979.6,6251.2,79.65830560532379
YTO21PrdApp05-troundgrt5m,80280,103,23096.26581963129,44243.44947348813,736.5863917525774,1048.3566506207353,34.858879722101605,34583396.0,6240.6,8158.0,76.49669036528562
