server,pool
0,0
0,1
0,7
0,8
0,27
0,36
0,40
0,45
1,0
1,2
1,3
1,9
1,29
1,38
1,42
1,47
2,1
2,2
2,4
2,5
2,21
2,30
2,44
2,49
3,3
3,4
3,6
3,7
3,23
3,32
3,41
3,46
4,5
4,6
4,8
4,9
4,25
4,34
4,43
4,48
5,0
5,5
5,10
5,11
5,17
5,18
5,37
5,46
6,2
6,7
6,10
6,12
6,13
6,19
6,39
6,48
7,4
7,9
7,11
7,12
7,14
7,15
7,31
7,40
8,1
8,6
8,13
8,14
8,16
8,17
8,33
8,42
9,3
9,8
9,15
9,16
9,18
9,19
9,35
9,44
10,6
10,10
10,15
10,20
10,21
10,27
10,28
10,47
11,8
11,12
11,17
11,20
11,22
11,23
11,29
11,49
12,0
12,14
12,19
12,21
12,22
12,24
12,25
12,41
13,2
13,11
13,16
13,23
13,24
13,26
13,27
13,43
14,4
14,13
14,18
14,25
14,26
14,28
14,29
14,45
15,7
15,16
15,20
15,25
15,30
15,31
15,37
15,38
16,9
16,18
16,22
16,27
16,30
16,32
16,33
16,39
17,1
17,10
17,24
17,29
17,31
17,32
17,34
17,35
18,3
18,12
18,21
18,26
18,33
18,34
18,36
18,37
19,5
19,14
19,23
19,28
19,35
19,36
19,38
19,39
20,17
20,26
20,30
20,35
20,40
20,41
20,47
20,48
21,19
21,28
21,32
21,37
21,40
21,42
21,43
21,49
22,11
22,20
22,34
22,39
22,41
22,42
22,44
22,45
23,13
23,22
23,31
23,36
23,43
23,44
23,46
23,47
24,15
24,24
24,33
24,38
24,45
24,46
24,48
24,49
