server,pool
0,1
0,16
0,43
0,45
0,54
0,122
0,158
0,179
1,56
1,59
1,80
1,102
1,112
1,117
1,130
1,163
2,22
2,24
2,81
2,93
2,101
2,117
2,155
2,168
3,6
3,18
3,46
3,70
3,82
3,87
3,107
3,110
4,42
4,64
4,82
4,140
4,164
4,175
4,181
4,183
5,3
5,9
5,10
5,25
5,139
5,141
5,153
5,178
6,2
6,48
6,50
6,92
6,123
6,125
6,152
6,175
7,2
7,67
7,73
7,116
7,126
7,132
7,134
7,165
8,0
8,37
8,41
8,43
8,44
8,138
8,147
8,179
9,14
9,19
9,47
9,75
9,123
9,154
9,159
9,174
10,2
10,4
10,8
10,53
10,92
10,100
10,113
10,137
11,26
11,34
11,111
11,140
11,159
11,164
11,170
11,190
12,21
12,23
12,37
12,48
12,52
12,57
12,104
12,106
13,7
13,72
13,120
13,127
13,133
13,153
13,155
13,172
14,62
14,65
14,98
14,115
14,129
14,150
14,168
14,180
15,47
15,61
15,101
15,105
15,113
15,144
15,160
15,172
16,1
16,65
16,96
16,110
16,128
16,134
16,142
16,145
17,4
17,9
17,49
17,125
17,164
17,172
17,174
17,178
18,34
18,68
18,85
18,88
18,89
18,94
18,121
18,138
19,31
19,67
19,73
19,99
19,113
19,122
19,136
19,159
20,10
20,28
20,55
20,83
20,91
20,95
20,131
20,146
21,32
21,38
21,73
21,79
21,80
21,83
21,103
21,130
22,46
22,75
22,77
22,114
22,118
22,126
22,153
22,161
23,11
23,14
23,29
23,33
23,115
23,124
23,152
23,186
24,102
24,104
24,112
24,148
24,156
24,164
24,166
24,185
25,12
25,26
25,36
25,77
25,87
25,106
25,157
25,170
26,12
26,59
26,65
26,77
26,104
26,132
26,156
26,185
27,5
27,48
27,59
27,66
27,88
27,127
27,139
27,149
28,10
28,40
28,116
28,119
28,143
28,145
28,152
28,184
29,43
29,47
29,107
29,122
29,151
29,173
29,177
29,190
30,29
30,37
30,38
30,50
30,60
30,66
30,78
30,90
31,27
31,35
31,51
31,53
31,98
31,101
31,170
31,186
32,53
32,76
32,100
32,120
32,129
32,162
32,181
32,188
33,15
33,39
33,52
33,74
33,89
33,98
33,123
33,175
34,66
34,75
34,99
34,100
34,114
34,128
34,135
34,150
35,32
35,49
35,95
35,108
35,120
35,134
35,182
35,187
36,44
36,55
36,81
36,119
36,143
36,157
36,161
36,167
37,3
37,76
37,78
37,115
37,147
37,166
37,168
37,185
38,29
38,42
38,51
38,93
38,149
38,151
38,163
38,172
39,25
39,28
39,44
39,60
39,133
39,140
39,161
39,175
40,3
40,22
40,34
40,52
40,84
40,91
40,165
40,174
41,20
41,22
41,30
41,45
41,71
41,96
41,111
41,127
42,13
42,39
42,45
42,46
42,111
42,124
42,145
42,178
43,4
43,18
43,69
43,89
43,141
43,143
43,160
43,181
44,9
44,19
44,54
44,70
44,71
44,88
44,99
44,167
45,5
45,16
45,20
45,33
45,42
45,56
45,81
45,124
46,6
46,11
46,64
46,94
46,122
46,146
46,160
46,169
47,26
47,77
47,81
47,87
47,97
47,109
47,121
47,170
48,13
48,34
48,36
48,95
48,99
48,103
48,120
48,148
49,13
49,17
49,70
49,84
49,85
49,105
49,106
49,179
50,36
50,38
50,69
50,78
50,83
50,90
50,116
50,177
51,31
51,44
51,47
51,64
51,107
51,126
51,130
51,131
52,1
52,9
52,68
52,72
52,79
52,105
52,106
52,128
53,38
